price,unit-type,beds,note,bedrooms,price-per-bed
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
3097,Studio,1,minimum price listed in range,0,3097.0
4367,1,1,minimum price listed in range,1,4367.0
4963,2,2,minimum price listed in range,2,2481.5
8200,3,3,minimum price listed in range,3,2733.33
2475,Studio,1,minimum price listed in range,0,2475.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
2910,1,1,minimum price listed in range,1,2910.0
3620,2,2,minimum price listed in range,2,1810.0
2835,1,1,minimum price listed in range,1,2835.0
3230,2,2,minimum price listed in range,2,1615.0
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3670,2,2,minimum price listed in range,2,1835.0
2545,Studio,1,minimum price listed in range,0,2545.0
2900,1,1,minimum price listed in range,1,2900.0
3275,2,2,minimum price listed in range,2,1637.5
4300,3,3,minimum price listed in range,3,1433.33
